street,zipcode,city,useCode,taxAssessmentYear,taxAssessment,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,amount,regionName,regionType
6657 Quartz Ave,91306,Winnetka,SingleFamily,2018,264740.0,1961,7294,1456,2.0,4,564279,Winnetka,neighborhood
16451 Tupper St,91343,North Hills,SingleFamily,2018,111313.0,NA,NA,1780,NA,NA,628843,North Hills,neighborhood
1507 Scott Ave,90026,Los Angeles,SingleFamily,2018,318080.0,1938,7499,880,1.0,2,902662,Echo Park,neighborhood
13352 Friar St,91401,Van Nuys,SingleFamily,2018,88213.0,1949,6628,1491,2.0,2,745071,Valley Glen,neighborhood
11021 Haskell Ave,91344,Granada Hills,SingleFamily,2018,584000.0,1956,7799,1430,2.0,3,579738,Granada Hills,neighborhood
3561 E 7th St,90023,Los Angeles,Duplex,2018,65784.0,1908,8648,2546,3.0,7,706358,Boyle Heights,neighborhood
4501 York Blvd,90041,Los Angeles,SingleFamily,2018,316880.0,1934,7505,2187,NA,0,1078285,Eagle Rock,neighborhood
501 N Indiana St,90063,Los Angeles,Duplex,2018,289489.0,1991,6217,1872,4.0,4,629418,Boyle Heights,neighborhood
10536 Woldrich St,91342,Sylmar,SingleFamily,2018,91842.0,1963,11556,1628,2.0,3,653600,Shadow Hills,neighborhood
142 E 56th St,90011,Los Angeles,MultiFamily2To4,2018,311228.0,1910,5103,1695,3.0,4,480488,Southeast Los Angeles,neighborhood
1511 E 22nd St,90011,Los Angeles,Condominium,2018,200748.0,1905,5651,1473,2.0,3,452873,Central City,neighborhood
12232 Peoria St,91352,Sun Valley,Condominium,2018,517000.0,1955,7487,1228,2.0,3,449666,Sun Valley,neighborhood
10354 Woodman Ave,91345,Mission Hills,SingleFamily,2018,211939.0,1954,6713,1734,2.0,3,560397,Mission Hills,neighborhood
16084 Columbus Ln,91343,North Hills,Condominium,2018,718500.0,2017,NA,2516,3.0,4,744380,North Hills,neighborhood
20313 Valerio St,91306,Winnetka,SingleFamily,2018,637500.0,1969,6841,2300,2.0,5,648066,Winnetka,neighborhood
6643 Emmet Ter,90068,Los Angeles,SingleFamily,2018,603419.0,1955,5460,1650,3.0,3,1417019,Hollywood Hills,neighborhood
3550 Ballina Canyon Rd,91436,Encino,SingleFamily,2018,1144324.0,1965,15973,2643,3.0,3,1711556,Encino,neighborhood
11518 Pala Mesa Dr,91326,Porter Ranch,SingleFamily,2018,476283.0,1974,10454,2761,3.0,4,882714,Porter Ranch,neighborhood
11225 Hooper Ave,90059,Los Angeles,Duplex,2018,331126.0,1940,4985,1792,2.0,6,489812,Watts,neighborhood
13579 Wingo St,91331,Arleta,SingleFamily,2018,176408.0,1952,6050,1230,2.0,3,516493,Arleta,neighborhood
20040 Baltar St,91306,Winnetka,SingleFamily,2018,313890.0,1989,6431,2418,3.0,4,690411,Winnetka,neighborhood
1818 Roosevelt Ave,90006,Los Angeles,SingleFamily,NA,NA,1912,NA,930,1.5,3,700353,Harvard Heights,neighborhood
6527 W 87th St,90045,Los Angeles,SingleFamily,2018,792984.0,1944,6249,2042,3.0,5,1365675,Westchester,neighborhood
5621 Baltimore St,90042,Los Angeles,SingleFamily,2018,600959.0,1923,5600,1293,2.0,2,835353,Highland Park,neighborhood
2749 S Bentley Ave,90064,Los Angeles,SingleFamily,2018,754290.0,1947,4560,850,1.0,2,1227772,Palms,neighborhood
6609 Brennan Ave,91307,West Hills,SingleFamily,2018,70412.0,1959,7587,1570,2.0,3,676350,West Hills,neighborhood
11284 Sunshine Ter,91604,Studio City,SingleFamily,2018,272850.0,1926,6254,2450,4.0,3,1433619,Studio City,neighborhood
358 E 71st St,90003,Los Angeles,SingleFamily,2018,37768.0,1923,4279,672,1.0,2,335477,Southeast Los Angeles,neighborhood
5246 Lennox Ave,91401,Sherman Oaks,SingleFamily,2018,313335.0,NA,5400,NA,NA,NA,919703,Sherman Oaks,neighborhood
6331 S Rimpau Blvd,90043,Los Angeles,SingleFamily,2018,161014.0,1923,5439,720,1.0,2,561898,Hyde Park,neighborhood
4577 Alumni Ave,90041,Los Angeles,Duplex,2018,187523.0,1941,5182,1640,2.0,2,889111,Eagle Rock,neighborhood
4448 Van Noord Ave,91604,Studio City,SingleFamily,2018,955541.0,1937,7005,1957,2.0,3,1335797,Studio City,neighborhood
4640 Seratt Pl,91607,Valley Village,SingleFamily,2018,405547.0,1956,12151,1779,3.0,3,1183268,Valley Village,neighborhood
4106 Abner St,90032,Los Angeles,MultiFamily2To4,NA,NA,1961,NA,900,1.0,2,659551,El Sereno,neighborhood
611 N New Hampshire Ave,90004,Los Angeles,SingleFamily,2018,171748.0,1909,7298,1708,1.0,3,1188785,Hollywood,neighborhood
16400 Calahan St,91343,North Hills,SingleFamily,2018,659940.0,1955,10018,1986,2.0,3,679322,North Hills,neighborhood
11021 Lull St,91352,Sun Valley,SingleFamily,2018,438312.0,1956,7250,1540,2.5,3,590133,Sun Valley,neighborhood
8486 Owensmouth Ave,91304,Canoga Park,SingleFamily,2018,250936.0,1956,7504,1773,2.0,3,590147,Canoga Park,neighborhood
971 El Paso Dr,90042,Los Angeles,Duplex,2018,216113.0,1953,7748,1236,2.0,3,886564,Mount Washington,neighborhood
6374 W 85th Pl,90045,Los Angeles,SingleFamily,2018,324749.0,1951,7301,1146,2.0,2,1004473,Westchester,neighborhood
7952 Lemona Ave,91402,Panorama City,SingleFamily,2018,269666.0,1948,6095,2475,2.0,4,669776,Panorama City,neighborhood
3312 Dona Rosa Dr,91604,Studio City,SingleFamily,2018,510291.0,1967,10197,3523,4.0,4,2186489,Studio City,neighborhood
4307 S Centinela Ave,90066,Los Angeles,Condominium,2018,1406503.0,2007,2500,1100,1.0,2,714034,Del Rey,neighborhood
10960 Mcvine Ave,91040,Sunland,SingleFamily,2018,280467.0,1945,7167,1243,2.0,3,601344,Sunland,neighborhood
3625 S Sepulveda Blvd APT A,90034,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,500,1.0,1,1595729,Palms,neighborhood
642 Amador St,90012,Los Angeles,SingleFamily,2018,199829.0,NA,NA,NA,NA,NA,588005,Elysian Park,neighborhood
1239 S Castello Ave,90035,Los Angeles,SingleFamily,2018,1540200.0,1936,6098,1812,2.0,3,1959595,Cheviot Hills,neighborhood
9213 Laurel Canyon Blvd,91331,Arleta,SingleFamily,2018,400898.0,1954,6480,1488,2.0,5,507678,Sun Valley,neighborhood
3871 S Van Ness Ave,90062,Los Angeles,Duplex,2018,206652.0,1922,5075,2038,2.0,5,641584,South Los Angeles,neighborhood
17800 Romar St,91325,Northridge,SingleFamily,2018,106179.0,1957,11156,1645,2.0,3,691599,Northridge,neighborhood
214 E 93rd St,90003,Los Angeles,SingleFamily,2018,40141.0,1914,4604,1188,2.0,3,423776,Southeast Los Angeles,neighborhood
4947 Wiota St,90041,Los Angeles,SingleFamily,2018,277384.0,1993,44866,2057,3.0,4,1180249,Eagle Rock,neighborhood
2929 Marsh St,90039,Los Angeles,MultiFamily2To4,2018,780672.0,1942,4943,3915,5.0,8,1361796,Elysian Valley,neighborhood
1204 W 13th St,90731,San Pedro,SingleFamily,2018,234506.0,1923,5200,912,1.0,2,612631,San Pedro,neighborhood
1124 S Hudson Ave,90019,Los Angeles,Duplex,2018,1048646.0,1923,7268,2731,2.0,4,1426246,Mid City,neighborhood
212 N Lake St,90026,Los Angeles,Triplex,2018,77103.0,1905,5460,2482,3.0,5,1077300,Westlake,neighborhood
9345 Donna Ave,91324,Northridge,SingleFamily,2018,328678.0,1961,7491,1668,2.0,4,620584,Northridge,neighborhood
19926 Gresham St,91324,Northridge,SingleFamily,2018,208725.0,1956,7498,1392,2.0,3,574210,Winnetka,neighborhood
5735 Bandera St,90058,Los Angeles,Duplex,2018,289227.0,1923,4798,1200,2.0,4,434192,Southeast Los Angeles,neighborhood
216 San Juan Ave,90291,Venice,SingleFamily,2018,1002861.0,1912,1531,750,2.0,2,1638778,Venice,neighborhood
18957 Granada Cir,91326,Porter Ranch,SingleFamily,2018,370763.0,NA,15580,NA,NA,NA,1002419,Porter Ranch,neighborhood
16512 Kingsbury St,91344,Granada Hills,SingleFamily,2018,102827.0,1957,9224,1744,2.0,3,661337,Granada Hills,neighborhood
13218 La Tierra Way,91342,Sylmar,Condominium,2018,365081.0,2001,3589145,2118,3.0,3,570914,Sylmar,neighborhood
2222 N Cahuenga Blvd,90068,Los Angeles,MultiFamily2To4,NA,NA,1950,10202,2951,5.0,5,2152284,Hollywood Hills,neighborhood
7834 Boeing Ave,90045,Los Angeles,SingleFamily,2018,86998.0,1948,7216,981,1.0,3,942226,Westchester,neighborhood
13567 Mercer St,91331,Pacoima,SingleFamily,2018,41320.0,1948,7506,788,1.0,2,419174,Pacoima,neighborhood
917 S Detroit St,90036,Los Angeles,Duplex,2018,386047.0,1924,6699,3910,4.0,6,1862708,Mid City,neighborhood
6026 S Wilton Pl,90047,Los Angeles,SingleFamily,2018,109224.0,1938,4124,936,1.0,2,448157,South Los Angeles,neighborhood
655 Oxford Ave,90291,Venice,SingleFamily,2018,470016.0,1954,3750,1092,1.0,2,1502073,Venice,neighborhood
1436 W 18th St,90006,San Pedro,SingleFamily,2018,70933.0,1929,6075,1619,2.0,2,757947,San Pedro,neighborhood
14171 Remington St,91331,Arleta,SingleFamily,2018,206514.0,1951,7618,1300,2.0,3,506205,Arleta,neighborhood
2707 Stoner Ave,90064,Los Angeles,SingleFamily,2018,644307.0,1938,4791,972,1.0,2,1242763,Mar Vista,neighborhood
5839 Craner Ave,91601,North Hollywood,SingleFamily,2018,214655.0,1936,13364,1978,4.0,3,902586,North Hollywood,neighborhood
208 E 76th St,90003,Los Angeles,MultiFamily2To4,2018,425000.0,1923,5100,1464,NA,0,460768,Southeast Los Angeles,neighborhood
1222 S Westlake Ave,90006,Los Angeles,Quadruplex,2018,218745.0,1899,7718,2950,2.0,8,904807,Pico-Union,neighborhood
6719 Arlington Ave,90043,Los Angeles,SingleFamily,2018,231648.0,1923,4800,1062,1.0,2,472250,Hyde Park,neighborhood
5633 Cedros Ave,91411,Van Nuys,SingleFamily,2018,260523.0,1948,7023,1692,3.0,3,897148,Sherman Oaks,neighborhood
15601 Olden St,91342,Sylmar,SingleFamily,2018,380897.0,1963,17127,1798,2.0,4,756019,Sylmar,neighborhood
2630 S Bentley Ave,90064,Los Angeles,SingleFamily,2018,396109.0,1935,5399,1177,2.0,3,1291305,Cheviot Hills,neighborhood
10200 Ruffner Ave,91343,North Hills,SingleFamily,2018,81398.0,1959,7517,1627,2.0,3,632666,North Hills,neighborhood
10530 Wheatland Ave,91040,Sunland,SingleFamily,2018,98214.0,1958,26820,2314,2.0,4,1104197,Shadow Hills,neighborhood
9406 Sandusky Ave,91331,Arleta,SingleFamily,2018,218074.0,1954,6014,1256,2.0,3,516778,Arleta,neighborhood
17118 Cantara St,91406,Van Nuys,SingleFamily,2018,244159.0,1953,5999,1350,2.0,3,590739,Lake Balboa,neighborhood
6119 Piedmont Ave,90042,Los Angeles,MultiFamily2To4,2018,977976.0,1910,4799,1992,3.0,4,908105,Highland Park,neighborhood
1922 W 20th St,90018,Los Angeles,Duplex,2018,111196.0,1905,6791,1820,2.0,3,750352,Adams-Normandie,neighborhood
3211 Gracia St,90039,Los Angeles,SingleFamily,2018,40022.0,1927,2500,846,1.0,2,734213,Atwater Village,neighborhood
1603 S Spaulding Ave,90019,Los Angeles,SingleFamily,2018,1124921.0,1923,6630,1747,3.0,3,1219610,Mid City,neighborhood
2871 Glendale Blvd,90039,Los Angeles,Quadruplex,2018,264794.0,1958,4954,2480,4.0,4,1309360,Silver Lake,neighborhood
1128 S Ardmore Ave,90006,Los Angeles,SingleFamily,2018,32480.0,1904,5903,1182,1.0,3,1244140,Harvard Heights,neighborhood
327 W 80th St,90003,Los Angeles,MultiFamily2To4,2018,560229.0,2013,5528,803,3.0,5,761216,Southeast Los Angeles,neighborhood
7501 Cleon Ave,91352,Sun Valley,SingleFamily,2018,258681.0,1951,6116,1166,1.0,3,532908,Sun Valley,neighborhood
236 E 60th St,90003,Los Angeles,MultiFamily2To4,2018,336664.0,1922,5127,2250,4.0,7,549671,Southeast Los Angeles,neighborhood
6716 Radford Ave,91606,North Hollywood,SingleFamily,2018,236128.0,1999,5008,1784,2.0,3,666769,North Hollywood,neighborhood
759 Jacon Way,90272,Pacific Palisades,SingleFamily,2018,1742212.0,1956,11409,2310,2.0,3,2690807,Pacific Palisades,neighborhood
1214 S Norton Ave,90019,Los Angeles,SingleFamily,2018,1469880.0,1911,12749,1200,2.0,3,1084563,Mid City,neighborhood
4711 Cimarron St,90062,Los Angeles,Duplex,2018,409397.0,1922,6506,1898,2.0,3,601557,South Los Angeles,neighborhood
11442 Valjean Ave,91344,Granada Hills,SingleFamily,2018,209843.0,1956,7944,1980,3.0,4,651917,Granada Hills,neighborhood
925 S Mesa St,90731,San Pedro,SingleFamily,NA,NA,NA,NA,1996,3.0,3,697340,San Pedro,neighborhood
1414 E 50th St,90011,Los Angeles,SingleFamily,2018,48716.0,1924,5004,1050,2.0,3,416121,Southeast Los Angeles,neighborhood
4815 Lemona Ave,91403,Sherman Oaks,SingleFamily,2018,1298109.0,1941,6755,1552,2.0,3,1025537,Sherman Oaks,neighborhood
130 W 86th Pl,90003,Los Angeles,SingleFamily,2018,154997.0,1912,8640,1692,2.0,4,478672,Southeast Los Angeles,neighborhood
22245 Ninfa Ct,91364,Woodland Hills,SingleFamily,2018,674754.0,NA,7970,NA,NA,NA,861759,Woodland Hills,neighborhood
1620 Palisades Dr,90272,Pacific Palisades,Condominium,2018,608432.0,1974,361366,1734,3.0,2,1050131,Pacific Palisades,neighborhood
2137 Banyan Dr,90049,Los Angeles,SingleFamily,2018,2104466.0,NA,12023,NA,2.5,3,2580022,Brentwood,neighborhood
6215 Nita Ave,91367,Los Angeles,Condominium,2018,96483.0,1973,122279,1888,3.0,2,546632,Woodland Hills,neighborhood
10401 Bevis Ave,91345,Mission Hills,SingleFamily,2018,404995.0,1954,8167,1705,2.0,3,572173,Mission Hills,neighborhood
1028 Nowita Pl.,90291,Venice,SingleFamily,NA,NA,1923,NA,1728,2.0,4,2820703,Venice,neighborhood
1975 Isabel St,90065,Los Angeles,MultiFamily2To4,2018,393600.0,NA,4380,NA,NA,NA,822259,Mount Washington,neighborhood
3155 Carlyle St,90065,Los Angeles,SingleFamily,2018,834959.0,1926,7497,3100,3.0,4,1238681,Glassell Park,neighborhood
12801 Landale St,91604,Studio City,MultiFamily2To4,2018,1851911.0,1924,23457,4581,7.0,11,2813441,Studio City,neighborhood
5653 Lemona Ave,91411,Van Nuys,SingleFamily,2018,270556.0,1950,6888,1676,2.0,3,874933,Sherman Oaks,neighborhood
14930 Mc Kendree Ave,90272,Pacific Palisades,SingleFamily,2018,968294.0,1954,6554,2600,2.0,3,3058316,Pacific Palisades,neighborhood
1817 S Sycamore Ave,90019,Los Angeles,Duplex,2018,572220.0,1924,5625,2382,2.0,4,982709,Mid City,neighborhood
5733 W 74th St,90045,Los Angeles,SingleFamily,2018,579005.0,1948,12800,1954,2.0,3,1199009,Westchester,neighborhood
8415 Sedan Ave,91304,Canoga Park,Condominium,2018,376507.0,1972,6719,1519,2.0,4,655260,West Hills,neighborhood
13774 Chase St,91331,Arleta,SingleFamily,2018,472000.0,1951,6730,1137,1.0,3,497929,Arleta,neighborhood
3767 Edenhurst Ave,90039,Los Angeles,SingleFamily,2018,836820.0,NA,NA,NA,NA,NA,1154189,Atwater Village,neighborhood
5503 S Wilton Pl,90062,Los Angeles,SingleFamily,2018,368247.0,1921,5469,1430,1.0,2,542646,South Los Angeles,neighborhood
8342 Shirley Ave,91324,Northridge,SingleFamily,2018,305099.0,1947,9446,864,2.0,2,507865,Northridge,neighborhood
22247 Erwin St,91367,Los Angeles,Townhouse,2018,513570.0,1972,122752,1575,3.0,3,552512,Woodland Hills,neighborhood
209 W 84th St,90003,Los Angeles,Duplex,2018,634644.0,2015,5400,3504,6.0,10,783261,Southeast Los Angeles,neighborhood
6911 Bellaire Ave,91605,North Hollywood,SingleFamily,2018,309088.0,1966,5486,1794,2.0,3,638477,Valley Glen,neighborhood
816 Vernon Ave,90291,Venice,SingleFamily,2018,44330.0,1939,4802,968,1.0,2,1776262,Venice,neighborhood
1455 W 84th Pl,90047,Los Angeles,Triplex,2018,450381.0,1925,6711,2141,3.0,5,641914,South Los Angeles,neighborhood
6536 Langdon Ave,91406,Van Nuys,SingleFamily,2018,160050.0,1949,16801,2244,3.0,3,988359,Van Nuys,neighborhood
10311 Jardine Ave,91040,Sunland,SingleFamily,2018,297970.0,1979,5645,1295,2.0,3,609628,Sunland,neighborhood
5005 Stoney Creek Rd UNIT 340,90230,Culver City,Condominium,2018,410474.0,1973,112284,885,2.0,2,691473,Jefferson,neighborhood
17516 Hamlin St,91406,Van Nuys,SingleFamily,2018,344386.0,1950,6434,1109,1.0,3,615632,Lake Balboa,neighborhood
1507 Cabrillo Ave,90291,Venice,SingleFamily,2018,890648.0,1912,2550,1000,1.0,2,1731377,Venice,neighborhood
10349 Siesta Dr,91040,Sunland,SingleFamily,2018,644640.0,1960,19602,1664,1.75,3,816940,Shadow Hills,neighborhood
9720 Towne Ave,90003,Los Angeles,SingleFamily,2018,286456.0,1926,3049,816,1.0,3,353788,Southeast Los Angeles,neighborhood
18617 Bryant St,91324,Northridge,SingleFamily,2018,152942.0,1952,5737,853,1.0,2,451339,Northridge,neighborhood
9503 Wheatland Ave,91040,Sunland,SingleFamily,2018,507813.0,1961,16552,2635,3.0,4,1001064,Shadow Hills,neighborhood
1212 W 1st St,90026,San Pedro,SingleFamily,2018,195984.0,1980,2817,1895,2.0,3,651222,San Pedro,neighborhood
17636 Hatteras St,91316,Encino,SingleFamily,2018,805000.0,1949,5543,2198,2.0,4,902505,Encino,neighborhood
13451 Rand Dr,91423,Sherman Oaks,SingleFamily,2018,1766244.0,2011,7355,4232,4.0,4,2089997,Sherman Oaks,neighborhood
131 W 87th St,90003,Los Angeles,SingleFamily,2018,188528.0,1922,4315,984,1.0,2,354923,Southeast Los Angeles,neighborhood
22242 Germain St UNIT 1,91311,Los angeles,Condominium,2018,216121.0,1970,104700,1288,2.0,3,461358,Chatsworth,neighborhood
1888 W 22nd St,90018,Los Angeles,Quadruplex,2018,241414.0,1966,6717,3920,8.0,12,1105750,Adams-Normandie,neighborhood
1856 Heather Ct,90210,Beverly Hills,SingleFamily,2018,1628225.0,1937,6398,1950,2.0,2,1915670,Beverly Crest,neighborhood
15857 Kalisher St,91344,Granada Hills,SingleFamily,2018,263367.0,1957,8951,2223,3.0,3,676310,Granada Hills,neighborhood
4600 La Subida Pl,91356,Tarzana,SingleFamily,2018,356387.0,1962,16059,2376,3.5,4,1244953,Tarzana,neighborhood
7942 Vicky Ave,91304,Canoga Park,SingleFamily,2018,419914.0,1962,7519,1256,2.0,3,626057,West Hills,neighborhood
13358 Desmond St,91331,Pacoima,SingleFamily,2018,198949.0,1942,5956,904,1.0,2,439567,Pacoima,neighborhood
21057 Cohasset St,91303,Canoga Park,SingleFamily,2018,275388.0,1951,6234,2311,2.0,4,674136,Canoga Park,neighborhood
8927 Ramsgate Ave,90045,Los Angeles,Duplex,2018,567297.0,1950,7054,3288,3.0,5,1628014,Westchester,neighborhood
940 W Battery St,90731,San Pedro,SingleFamily,2018,327096.0,NA,NA,NA,NA,NA,714540,San Pedro,neighborhood
14426 Astoria St,91342,Sylmar,SingleFamily,2018,141151.0,1955,9016,2539,3.0,3,658469,Sylmar,neighborhood
8163 Redlands St APT 3,90293,Los angeles,Condominium,2018,444000.0,NA,NA,NA,NA,NA,447968,Playa Del Rey,neighborhood
2006 S Harcourt Ave,90016,Los Angeles,MultiFamily2To4,2018,436999.0,1923,5802,4188,NA,0,1195439,Mid City,neighborhood
9442 Natick Ave,91343,North Hills,SingleFamily,2018,341953.0,1955,7496,1200,2.0,3,546019,North Hills,neighborhood
7018 Helmsdale Rd,91307,West Hills,SingleFamily,2018,567226.0,1961,12800,2200,2.0,3,757818,West Hills,neighborhood
3221 Estara Ave,90065,Los Angeles,SingleFamily,2018,132888.0,1928,4005,976,1.0,2,728188,Glassell Park,neighborhood
16523 Shamhart Dr,91344,Granada Hills,SingleFamily,2018,673200.0,1961,11018,2746,3.0,4,838901,Granada Hills,neighborhood
7519 S Halldale Ave,90047,Los Angeles,SingleFamily,2018,47565.0,1926,5181,1310,2.0,3,521840,South Los Angeles,neighborhood
734 E 43rd St,90011,Los Angeles,SingleFamily,2018,367200.0,1921,5118,1355,1.0,2,425995,Southeast Los Angeles,neighborhood
11442 Oxnard St,91606,North Hollywood,Quadruplex,2018,189208.0,1951,2499,1922,4.0,4,819051,North Hollywood,neighborhood
6656 Wynne Ave,91335,Reseda,SingleFamily,2018,190429.0,1950,5941,1043,1.0,3,483582,Reseda,neighborhood
19161 Arminta St,91335,Reseda,SingleFamily,2018,865000.0,1941,22069,2205,4.0,4,716975,Reseda,neighborhood
1135 Oak Grove Dr,90041,Los Angeles,SingleFamily,2018,312419.0,1913,9201,1490,1.0,3,916631,Eagle Rock,neighborhood
1507 W 47th St,90062,Los Angeles,SingleFamily,2018,433500.0,NA,NA,NA,NA,NA,516369,South Los Angeles,neighborhood
4317 6th Ave,90008,Los Angeles,SingleFamily,2018,51665.0,1938,5292,1169,1.0,2,740836,Leimert Park,neighborhood
5518 Van Noord Ave,91401,Sherman Oaks,SingleFamily,2018,448121.0,1952,7670,1954,3.0,3,961971,Sherman Oaks,neighborhood
5901 Echo St,90042,Los Angeles,Triplex,2018,600613.0,NA,8057,4917,4.0,6,1530784,Highland Park,neighborhood
9735 Sunland Blvd,91040,Sunland,SingleFamily,2018,72127.0,1953,43284,1330,2.0,3,792129,Shadow Hills,neighborhood
3809 Flower Dr,90037,Los Angeles,Quadruplex,2018,301330.0,1921,7006,5332,NA,NA,1093651,South Los Angeles,neighborhood
1561 E 33rd St,90011,Los Angeles,Duplex,2018,327391.0,1983,5078,2351,3.0,8,608165,Central City,neighborhood
290 W 15th St,90015,San Pedro,SingleFamily,2018,182484.0,1920,6751,1256,1.0,2,596519,Downtown,neighborhood
4136 Monterey Rd,90032,Los Angeles,SingleFamily,2018,637500.0,1956,7148,1279,2.0,3,679595,El Sereno,neighborhood
6517 Babcock Ave,91606,North Hollywood,SingleFamily,2018,328206.0,1942,5524,1100,1.0,2,631354,Valley Glen,neighborhood
1320 Innes Pl,90291,Venice,MultiFamily2To4,2018,285851.0,1910,2389,1908,2.0,4,2210963,Venice,neighborhood
10043 Roscoe Blvd,91352,Sun Valley,SingleFamily,2018,453123.0,1956,9321,1824,2.0,4,767635,Sun Valley,neighborhood
8836 S Gramercy Pl,90047,Los Angeles,SingleFamily,2018,49730.0,1939,6080,1450,1.0,3,565524,South Los Angeles,neighborhood
12549 Everglade St,90066,Los Angeles,SingleFamily,2018,399937.0,1947,5700,2418,3.0,3,1932435,Mar Vista,neighborhood
211 W 75th St,90003,Los Angeles,SingleFamily,2018,291763.0,1913,5954,884,1.0,2,364807,Southeast Los Angeles,neighborhood
5521 Inglewood Blvd,90230,Los Angeles,SingleFamily,2018,542303.0,1952,3247,1273,2.0,2,946182,Del Rey,neighborhood
3623 Shannon Rd,90027,Los Angeles,SingleFamily,2018,726455.0,1932,6991,3096,3.0,4,2491146,Los Feliz,neighborhood
1300 W 84th Pl,90044,Los Angeles,SingleFamily,2018,137238.0,1924,5900,946,1.0,2,466393,South Los Angeles,neighborhood
15728 Leadwell St,91406,Van Nuys,SingleFamily,2018,612631.0,2003,6207,2753,4.0,5,862070,Lake Balboa,neighborhood
10300 Stanford Ave,90002,Los Angeles,SingleFamily,2018,362363.0,1944,5769,1648,2.0,4,456072,Southeast Los Angeles,neighborhood
3318 Beethoven St,90066,Los Angeles,SingleFamily,2018,1988388.0,1953,6716,1606,2.0,3,2503718,Mar Vista,neighborhood
235 E L St,90744,Wilmington,SingleFamily,2018,434830.0,1948,8477,2014,2.0,3,561763,Wilmington,neighborhood
1642 W 36th Pl,90018,Los Angeles,Duplex,2018,214688.0,1929,6751,2107,2.0,5,753839,South Los Angeles,neighborhood
2107 W 28th St,90018,Los Angeles,SingleFamily,2018,122397.0,1908,6677,1838,2.0,4,802731,Jefferson Park,neighborhood
19855 Lassen St,91311,Chatsworth,SingleFamily,2018,177414.0,1973,10998,3250,3.0,5,844147,Chatsworth,neighborhood
10729 Sharp Ave,91345,Mission Hills,SingleFamily,2018,71486.0,1955,7539,1751,2.0,4,544986,Mission Hills,neighborhood
17825 Martha St,91316,Encino,SingleFamily,2018,281812.0,1949,5553,1402,2.0,3,731666,Encino,neighborhood
10218 Lev Ave,91331,Arleta,SingleFamily,2018,205205.0,1925,9712,2188,2.0,3,562939,Arleta,neighborhood
4933 Range View Ave,90042,Los Angeles,SingleFamily,2018,706501.0,1960,9994,1246,3.0,2,904405,Highland Park,neighborhood
1930 Whitmore Ave,90039,Los Angeles,SingleFamily,2018,371587.0,1924,9758,627,1.0,2,854058,Echo Park,neighborhood
6726 Hinds Ave,91606,North Hollywood,SingleFamily,2018,384175.0,1940,6585,1682,1.0,3,646930,North Hollywood,neighborhood
4357 York Blvd,90041,Los Angeles,Duplex,2018,139451.0,1947,6189,2156,2.0,3,964921,Eagle Rock,neighborhood
4939 Medina Dr,91364,Woodland Hills,SingleFamily,2018,869000.0,1989,7388,3332,2.5,3,983891,Woodland Hills,neighborhood
11260 Encino Ave,91344,Granada Hills,SingleFamily,2018,443643.0,1962,12233,2322,3.0,4,791341,Granada Hills,neighborhood
14617 Morrison St,91403,Sherman Oaks,SingleFamily,2018,641914.0,NA,NA,1750,NA,NA,1035785,Sherman Oaks,neighborhood
13161 Foothill Blvd UNIT 114,91342,Los angeles,Condominium,2018,121158.0,1991,30863,1352,3.0,3,374069,Sylmar,neighborhood
967 W Battery St,90731,San Pedro,SingleFamily,2018,635000.0,1976,8910,1739,2.0,3,729935,San Pedro,neighborhood
1116 Elden Ave,90006,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,1100,2.0,2,860628,Harvard Heights,neighborhood
527 W 42nd St,90037,Los Angeles,SingleFamily,2018,221904.0,1905,3620,1612,2.0,3,497391,South Los Angeles,neighborhood
11929 Otsego St,91607,Valley Village,SingleFamily,2018,1131849.0,1937,8101,3203,4.0,5,1561960,Valley Village,neighborhood
4230 Walton Ave,90037,Los Angeles,Duplex,2018,30322.0,1924,4346,1524,2.0,2,572825,South Los Angeles,neighborhood
3722 Dover St,90039,Los Angeles,Duplex,2018,234156.0,1923,6750,1866,2.0,3,983377,Atwater Village,neighborhood
9018 Orchard Ave,90044,Los Angeles,SingleFamily,2018,341700.0,1911,5789,1458,2.0,4,466427,South Los Angeles,neighborhood
10025 Bartee Ave,91331,Arleta,SingleFamily,2018,331121.0,1986,7005,1536,2.0,3,515850,Arleta,neighborhood
3360 Ley Dr,90027,Los Angeles,SingleFamily,2018,1976759.0,1966,6764,3350,4.0,4,2326645,Los Feliz,neighborhood
9536 Capistrano Ave,91311,Chatsworth,SingleFamily,2018,974030.0,1979,18295,3923,4.0,5,1068144,Chatsworth,neighborhood
1613 S Orange Grove Ave,90019,Los Angeles,SingleFamily,2018,654764.0,1932,6377,1760,2.0,3,1322917,Mid City,neighborhood
4947 Greenbush Ave,91423,Sherman Oaks,SingleFamily,2018,502792.0,1942,7199,1267,2.0,3,905613,Sherman Oaks,neighborhood
1049 W 53rd St,90037,Los Angeles,Duplex,2018,234152.0,1938,5361,1956,3.0,4,517581,South Los Angeles,neighborhood
11933 Goshen Ave APT 301,90049,Los Angeles,Apartment,NA,NA,NA,NA,1806,3.0,2,4381373,Brentwood,neighborhood
